factor,factor_name
factor_1,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, по контролю за оборотом наркотиков, ППС, ГАИ, участковыми уполномоченными полиции несовершеннолетних, совершивших административные правонарушения"
factor_2,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, по контролю за оборотом наркотиков, ППС, ГАИ, участковыми уполномоченными полиции безнадзорных, беспризорных несовершеннолетних"
factor_3,"Количество выявленных сотрудниками уголовного розыска несовершеннолетних, совершивших общественно опансые деяния до достижения возраста, с которого наступает уголовная ответственность"
factor_4,"Количество выявленных сотрудниками уголовного розыска несовершеннолетних, совершивших административные правонарушения"
factor_5,"Количество выявленных сотрудниками уголовного розыска безнадзорных, беспризорных несовершеннолетних"
factor_6,"Количество выявленных сотрудниками органов предварительного следствия несовершеннолетних, совершивших общественно опансые деяния до достижения возраста, с которого наступает уголовная ответственность"
factor_7,"Количество выявленных сотрудниками органов предварительного следствия несовершеннолетних, совершивших административные правонарушения"
factor_8,"Количество выявленных сотрудниками органов предварительного следствия безнадзорных, беспризорных несовершеннолетних"
factor_9,"Количество выявленных несовершеннолетних, совершивших преступления"
factor_10,"Количество выявленных несовершеннолетних, совершивших административные правонарушения"
factor_11,"Количество выявленных безнадзорных, беспризорных несовершеннолетних"
factor_12,"Количество несовершеннолетних, совершивших общественно опансые деяния до достижения возраста, с которого наступает уголовная ответственность, выявленных сотрудниками подразделений по делам несовершеннолетних, ППС, дознания, ГАИ, по контролю за оборотом на"
factor_13,Количество потерпевших
factor_14,"Количество потерпевших, в том числе юридических лиц"
factor_15,"Количество потерпевших, в том числе физических лиц"
factor_16,"Количество потерпевших, в том числе погибших"
factor_17,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью"
factor_18,"Количество потерпевших, в том числе несовершеннолетних"
factor_19,"Количество потерпевших, в том числе женщин"
factor_20,Всего разыскивалось лиц
factor_21,"Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда"
factor_22,"Всего разыскивалось лиц, в том числе лиц, пропавших без вести"
factor_23,Установлено лиц из числа находившихся в розыске
factor_24,"Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда"
