year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2014,10,Центральный фед.округ,44222,44222,4422.2,6051,6051,605.1,54737,54737,5473.7,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Центральный фед.округ,48256,4034,4034,6661,610,610,59633,4896,4896,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Центральный фед.округ,53210,4954,4954,7391,730,730,65684,6051,6051,10.1,0.09999999999999964,0.09999999999999964,,,,,,,15376572,15376572,7688286,12228332,12228332,6114166,1561570,1561570,780785,203720,203720,101860,25941467,25941467,12970733.5,6110236,6110236,3055118,636127,636127,318063.5,62640,62640,31320,6910262,6910262,3455131,626064,626064,313032,62149,62149,31074.5,7598475,7598475,3799237.5
2014,10,Белгородская область,1097,1097,109.7,226,226,22.6,1239,1239,123.9,15.4,15.4,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Белгородская область,1198,101,101,246,20,20,1349,110,110,15.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Белгородская область,1302,104,104,270,24,24,1462,113,113,15.6,0.1999999999999993,0.1999999999999993,,,,,,,633271,633271,316635.5,488864,488864,244432,70858,70858,35429,8437,8437,4218.5,1395464,1395464,697732,197522,197522,98761,24756,24756,12378,1214,1214,607,811358,811358,405679,17665,17665,8832.5,1201,1201,600.5,830224,830224,415112
2014,10,Брянская область,1209,1209,120.9,238,238,23.8,1454,1454,145.4,14.1,14.1,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Брянская область,1315,106,106,256,18,18,1581,127,127,13.9,-0.1999999999999993,-0.1999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Брянская область,1448,133,133,278,22,22,1742,161,161,13.8,-0.09999999999999964,-0.09999999999999964,,,,,,,312751,312751,156375.5,246584,246584,123292,27832,27832,13916,6012,6012,3006,645219,645219,322609.5,280322,280322,140161,29157,29157,14578.5,16276,16276,8138,280322,280322,140161,29157,29157,14578.5,16276,16276,8138,325755,325755,162877.5
2014,10,Владимирская область,2538,2538,253.8,365,365,36.5,3414,3414,341.4,9.7,9.7,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
